IID	Garb_01G000010	Garb_01G000020	Garb_01G000030	Garb_01G000040	Garb_01G000050	Garb_01G000060	Garb_01G000070
J1	-0.012724344749941996	-0.9539646767594884	-0.5185695989918168	-0.29695945740853036	-0.0891861022583937	-0.4191220952251226	0.9340971012246375
J100	-1.9982895370082356	-2.4269006269340254	2.426900626934027	-0.7694531182786174	1.9982895370082356	-1.2044223031644985	-0.29695945740853036
J101	0.7356742992984955	0.5479061508640868	0.1404241561511963	-0.14042415615119644	0.36416334003416584	-0.21802303020957337	-0.5928231810424173
J10-1	-0.050917999051535066	-0.29695945740853036	-1.4140050964750193	2.10223157766975	0.15328619243711092	0.895427930347364	-1.0159679057477282
J102	-0.16617363831901283	2.426900626934027	-1.0375225633382072	1.2044223031644985	0.914591559580124	2.8021617159609473	-1.9982895370082356
J10-2	-0.2572907731482172	0.2310719794356965	2.235558422667649	-0.9742161276653362	-0.4052698202950264	-1.5685566976542462	-1.129034574669348
J103	-0.2704656621450554	0.33710120492664575	-0.6865191592337914	0.012724344749941996	0.4470730248219683	1.912301266756704	0.4191220952251228
J104	-0.4896727575749171	-0.050917999051535066	0.1147674601543766	0.2836876679453039	-1.4140050964750193	0.012724344749941996	0.1404241561511963
J105	0.0	-1.1534372379533202	-2.4269006269340254	1.129034574669348	2.8021617159609473	1.2311303614235207	-0.7356742992984955
J106	0.5185695989918169	0.1790887437551733	-1.4868446809460143	0.6234407539880773	0.47537772763265407	-0.6389697059353094	0.3777938316658648
J107	-0.21802303020957337	1.1052863446694685	0.5777220694967171	0.5627515724444828	-1.9982895370082356	-1.0159679057477282	-0.7190968983321423
J108	-0.8954279303473639	-0.1147674601543766	0.0	-0.21802303020957337	-0.19203379170495294	0.5331805133159214	0.8580534603025611
J109	-0.06366298492671138	0.7866751045818522	-0.9340971012246375	0.6546542994973628	-0.2572907731482172	-0.5040685621172549	0.1147674601543766
J11	0.3236633863080438	0.1147674601543766	0.7524563841227665	-0.5185695989918168	-0.06366298492671138	0.4611791896716828	-0.3914948805140331
J110	0.8218407944157843	-0.43305526742154155	-0.24416039517702146	0.24416039517702132	0.2704656621450554	0.3777938316658648	-0.5185695989918168
J111	-1.178546815327782	-1.4494637314401992	0.2704656621450554	1.0595703653160047	-0.9539646767594884	0.6234407539880773	-0.025450750102227377
J112	-0.5331805133159213	-0.36416334003416584	-1.2587467283461882	0.7356742992984955	1.0375225633382075	-1.3802402324064889	0.9539646767594884
J113	-0.2836876679453039	-0.9340971012246375	0.4896727575749171	-1.4494637314401992	0.2572907731482171	1.4868446809460139	1.3479795048471408
J114	1.5264270178341766	-0.2704656621450554	-0.21802303020957337	-1.1534372379533202	0.8580534603025611	0.7027147999350711	0.4330552674215413
J115	0.5479061508640868	0.5040685621172549	0.10196843977437144	-0.5331805133159213	0.6234407539880773	-0.5185695989918168	0.025450750102227516
J116	-1.3802402324064889	-1.1052863446694685	1.3170637432765038	-0.6705016247393566	-0.8954279303473639	1.0595703653160047	0.4470730248219683
J117	-0.4191220952251226	0.9948752240011164	-1.129034574669348	0.6080607121367392	-0.07641832069645092	0.3236633863080438	0.5040685621172549
J118	1.0375225633382075	0.2836876679453039	0.47537772763265407	-0.32366338630804364	0.12758530959083797	0.0	-0.6705016247393566
J119	1.912301266756704	-0.6865191592337914	0.6389697059353098	0.4052698202950264	0.7190968983321423	0.8041336424887251	-1.912301266756704
J12	-0.205011101146471	-0.6389697059353094	0.24416039517702132	-0.5040685621172549	1.0159679057477282	0.1404241561511963	0.47537772763265407
J120	-0.1147674601543766	-1.3170637432765038	1.0375225633382075	0.9340971012246375	1.3802402324064893	-0.7356742992984955	-1.5685566976542462
J122	-1.0375225633382072	0.3236633863080438	0.7027147999350711	0.06366298492671124	-1.8384926242576878	-0.29695945740853036	0.31028376279283354
J123	-0.5777220694967171	0.7027147999350711	1.5685566976542462	0.33710120492664575	-2.235558422667648	-0.4896727575749171	-1.1534372379533202
J124	0.5040685621172549	0.12758530959083797	0.7866751045818522	-1.1052863446694685	-0.24416039517702146	2.10223157766975	-0.03818127899610969
J125	0.2704656621450554	-0.2836876679453039	0.5331805133159214	0.10196843977437144	0.16617363831901283	-0.5928231810424173	-0.5479061508640869
J126	-0.8398094601128514	-1.4140050964750193	1.0821456430142158	-1.0821456430142158	-1.0595703653160047	-0.15328619243711106	1.2311303614235207
J127	-0.23107197943569635	0.35060017547557637	-0.6234407539880771	-0.31028376279283343	0.5928231810424173	2.426900626934027	0.5928231810424173
J128	-0.025450750102227377	-0.10196843977437144	1.0159679057477282	0.2180230302095735	-1.3170637432765038	-0.12758530959083783	-0.9742161276653362
J129-1	-1.2587467283461882	0.19203379170495294	0.4470730248219683	-1.3170637432765038	0.31028376279283354	1.7152772024843754	1.6136701828930669
